period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2022-02,NY,New York,OTH,other,,million kilowatt hours
2022-02,NY,New York,RES,residential,4343.20588,million kilowatt hours
2022-02,NY,New York,TRA,transportation,236.9792,million kilowatt hours
2024-03,NY,New York,ALL,all sectors,10943.12174,million kilowatt hours
2024-03,NY,New York,COM,commercial,5656.39338,million kilowatt hours
2024-03,NY,New York,IND,industrial,1293.41779,million kilowatt hours
2024-03,NY,New York,OTH,other,,million kilowatt hours
2024-03,NY,New York,RES,residential,3773.14596,million kilowatt hours
2024-03,NY,New York,TRA,transportation,220.16462,million kilowatt hours
2023-10,NY,New York,ALL,all sectors,10747.58892,million kilowatt hours
2023-10,NY,New York,COM,commercial,5689.89462,million kilowatt hours
2023-10,NY,New York,IND,industrial,1185.72334,million kilowatt hours
2023-10,NY,New York,OTH,other,,million kilowatt hours
2023-10,NY,New York,RES,residential,3651.02116,million kilowatt hours
2023-10,NY,New York,TRA,transportation,220.94979,million kilowatt hours
2022-05,NY,New York,IND,industrial,1210.06777,million kilowatt hours
2022-05,NY,New York,OTH,other,,million kilowatt hours
2022-05,NY,New York,RES,residential,3604.33317,million kilowatt hours
2022-05,NY,New York,TRA,transportation,190.8758,million kilowatt hours
2023-08,NY,New York,ALL,all sectors,13588.06902,million kilowatt hours
2023-08,NY,New York,COM,commercial,6700.57211,million kilowatt hours
2023-08,NY,New York,IND,industrial,1319.64444,million kilowatt hours
2023-08,NY,New York,OTH,other,,million kilowatt hours
2023-08,NY,New York,RES,residential,5343.09351,million kilowatt hours
2023-08,NY,New York,TRA,transportation,224.75897,million kilowatt hours
2023-02,NY,New York,ALL,all sectors,11110.59133,million kilowatt hours
2023-02,NY,New York,COM,commercial,5783.00313,million kilowatt hours
2023-02,NY,New York,IND,industrial,1156.0037,million kilowatt hours
2023-02,NY,New York,OTH,other,,million kilowatt hours
2023-02,NY,New York,RES,residential,3953.48438,million kilowatt hours
2023-02,NY,New York,TRA,transportation,218.10013,million kilowatt hours
2024-04,NY,New York,ALL,all sectors,10314.60993,million kilowatt hours
2024-04,NY,New York,COM,commercial,5298.04582,million kilowatt hours
2024-04,NY,New York,IND,industrial,1295.68366,million kilowatt hours
2024-04,NY,New York,OTH,other,,million kilowatt hours
2024-04,NY,New York,RES,residential,3510.58783,million kilowatt hours
2024-04,NY,New York,TRA,transportation,210.29261,million kilowatt hours
2023-07,NY,New York,ALL,all sectors,13987.81497,million kilowatt hours
2023-07,NY,New York,COM,commercial,6820.40054,million kilowatt hours
2023-07,NY,New York,IND,industrial,1366.49673,million kilowatt hours
2023-07,NY,New York,OTH,other,,million kilowatt hours
2023-03,NY,New York,TRA,transportation,225.77216,million kilowatt hours
2024-08,NY,New York,ALL,all sectors,14113.95213,million kilowatt hours
2024-08,NY,New York,COM,commercial,6811.36425,million kilowatt hours
2024-08,NY,New York,IND,industrial,1393.03142,million kilowatt hours
2024-08,NY,New York,OTH,other,,million kilowatt hours
2024-08,NY,New York,RES,residential,5679.64323,million kilowatt hours
2024-08,NY,New York,TRA,transportation,229.91324,million kilowatt hours
2024-07,NY,New York,ALL,all sectors,14661.713,million kilowatt hours
2024-07,NY,New York,COM,commercial,6978.18438,million kilowatt hours
2024-07,NY,New York,IND,industrial,1399.14793,million kilowatt hours
2024-07,NY,New York,OTH,other,,million kilowatt hours
2024-07,NY,New York,RES,residential,6035.48959,million kilowatt hours
2024-07,NY,New York,TRA,transportation,248.8911,million kilowatt hours
2024-06,NY,New York,TRA,transportation,227.08873,million kilowatt hours
2023-11,NY,New York,ALL,all sectors,11020.9403,million kilowatt hours
2023-11,NY,New York,COM,commercial,5876.93653,million kilowatt hours
2023-11,NY,New York,IND,industrial,1317.12071,million kilowatt hours
2023-11,NY,New York,OTH,other,,million kilowatt hours
2023-11,NY,New York,RES,residential,3608.97419,million kilowatt hours
2023-11,NY,New York,TRA,transportation,217.90887,million kilowatt hours
2024-11,NY,New York,ALL,all sectors,10323.68181,million kilowatt hours
2024-11,NY,New York,COM,commercial,5418.05245,million kilowatt hours
2024-11,NY,New York,IND,industrial,1251.63828,million kilowatt hours
2024-11,NY,New York,OTH,other,,million kilowatt hours
2024-11,NY,New York,RES,residential,3418.64729,million kilowatt hours
2024-11,NY,New York,TRA,transportation,235.34379,million kilowatt hours
2024-10,NY,New York,ALL,all sectors,10514.10711,million kilowatt hours
2024-10,NY,New York,COM,commercial,5550.67599,million kilowatt hours
2024-10,NY,New York,IND,industrial,1293.96542,million kilowatt hours
2024-10,NY,New York,OTH,other,,million kilowatt hours
2024-10,NY,New York,RES,residential,3450.69315,million kilowatt hours
2024-10,NY,New York,TRA,transportation,218.77255,million kilowatt hours
